codigo;tipo;titulo;capítulo;secuencia;FEN;bando_que_mueve;objetivo;nivel;comentario_blancas;comentario_negras;continuidad_didactica;referencia_en_manual
ITA-P11;posición;Tras la ruptura negra;Ampliación A;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 d2d3 g8f6 e1g1 d7d6 c2c3 e8g8 f1e1 a7a6 c4b3 c5a7 h2h3 h7h6 b1d2 f8e8 d2f1 c8e6 f1g3 d8d7 c1c2 a8d8 d3d4 d6d5 e4d5 f6d5;3rr1k1/bppq1pp1/p1n1b2p/3np3/3P4/1BP2NNP/PPB2PP1/R2QR1K1 w - - 0 16;blancas;Reconocer la evolución de la Apertura Italiana y elegir el siguiente paso lógico.;800–1400;Aplicar desarrollo, seguridad del rey, ruptura central y mejora de la peor pieza según la estructura.;Buscar presión sobre e4 y la ruptura liberadora ...d5 sin descuidar el desarrollo.;Reproducir la secuencia, explicar el plan de ambos bandos y continuar sin memorizar desde ITA-P11.;Ficha ITA-P11
ITA-P12;posición;Transición al medio juego;Ampliación A;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 d2d3 g8f6 e1g1 d7d6 c2c3 e8g8 f1e1 a7a6 c4b3 c5a7 h2h3 h7h6 b1d2 f8e8 d2f1 c8e6 f1g3 d8d7 c1c2 a8d8 d3d4 d6d5 e4d5 f6d5 f3e5 c6e5 e1e5;3rr1k1/bppq1pp1/p3b2p/3nR3/3P4/1BP3NP/PPB2PP1/R2Q2K1 b - - 0 17;negras;Reconocer la evolución de la Apertura Italiana y elegir el siguiente paso lógico.;800–1400;Aplicar desarrollo, seguridad del rey, ruptura central y mejora de la peor pieza según la estructura.;Buscar presión sobre e4 y la ruptura liberadora ...d5 sin descuidar el desarrollo.;Reproducir la secuencia, explicar el plan de ambos bandos y continuar sin memorizar desde ITA-P12.;Ficha ITA-P12
ITA-S01;estructura;Centro abierto;Ampliación B · Estructuras de peones;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 g8f6 c2c3 e8g8 d2d4 e5d4 c3d4 c5b6;r1bq1rk1/pppp1ppp/1bn2n2/8/2BPP3/5N2/PP3PPP/RNBQ1RK1 w - - 1 8;blancas;Torres y alfiles ganan actividad en columnas y diagonales abiertas.;intermedio;Desarrollar Cc3, activar torres y aprovechar las líneas.;Completar desarrollo y disputar las columnas antes de quedar restringido.;Identificar la estructura, la peor pieza y la ruptura de cada bando antes de elegir una jugada.;ITA-S01 · Ampliación B
ITA-S02;estructura;Centro con tensión;Ampliación B · Estructuras de peones;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 g8f6 c2c3 e8g8 d2d4;r1bq1rk1/pppp1ppp/2n2n2/2b1p3/2BPP3/2P2N2/PP3PPP/RNBQ1RK1 b - d3 0 6;negras;Decidir cuándo mantener o resolver la tensión central.;intermedio;Conservar opciones y calcular dxe5 o e5 solo con beneficio concreto.;Preparar ...exd4 o ...d5 según la colocación de las piezas.;Identificar la estructura, la peor pieza y la ruptura de cada bando antes de elegir una jugada.;ITA-S02 · Ampliación B
ITA-S03;estructura;Centro cerrado;Ampliación B · Estructuras de peones;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 d2d3 g8f6 e1g1 d7d6 c2c3;r1bqk2r/ppp2ppp/2np1n2/2b1p3/2B1P3/2PP1N2/PP3PPP/RNBQ1RK1 b kq - 0 6;negras;Comprender las maniobras previas a la ruptura d4.;intermedio;Jugar Te1, Cbd2-f1-g3 y preparar d4.;Preparar ...d5 y generar contrajuego antes del ataque blanco.;Identificar la estructura, la peor pieza y la ruptura de cada bando antes de elegir una jugada.;ITA-S03 · Ampliación B
ITA-S04;estructura;Cadena c3-d4-e4;Ampliación B · Estructuras de peones;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 g8f6 c2c3 e8g8 d2d4;r1bq1rk1/pppp1ppp/2n2n2/2b1p3/2BPP3/2P2N2/PP3PPP/RNBQ1RK1 b - d3 0 6;negras;Reconocer la base d4 y sostener el espacio central.;intermedio;Desarrollar Cc3 y utilizar el espacio para activar las piezas.;Presionar d4 mediante ...Cc6, ...Ag4 y ...Te8.;Identificar la estructura, la peor pieza y la ruptura de cada bando antes de elegir una jugada.;ITA-S04 · Ampliación B
ITA-S05;estructura;Peón aislado en d4;Ampliación B · Estructuras de peones;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 g8f6 c2c3 e8g8 d2d4 e5d4 c3d4 c5b6;r1bq1rk1/pppp1ppp/1bn2n2/8/2BPP3/5N2/PP3PPP/RNBQ1RK1 w - - 1 8;blancas;Compensar la debilidad estática con actividad.;intermedio;Buscar e5, columnas abiertas y ataque antes de simplificar.;Bloquear d4 y cambiar las piezas activas blancas.;Identificar la estructura, la peor pieza y la ruptura de cada bando antes de elegir una jugada.;ITA-S05 · Ampliación B
ITA-S06;estructura;Mayoría central;Ampliación B · Estructuras de peones;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 d2d3 g8f6 e1g1 d7d6 c2c3 e8g8 f1e1 a7a6 c4b3 c5a7 h2h3 h7h6 b1d2 f8e8 d2f1 c8e6 f1g3 d8d7 c1c2 a8d8 d3d4 d6d5 e4d5 f6d5 f3e5 c6e5 e1e5;3rr1k1/bppq1pp1/p3b2p/3nR3/3P4/1BP3NP/PPB2PP1/R2Q2K1 b - - 0 17;negras;Transformar la mayoría de peones en un peón pasado.;intermedio;Activar el rey y avanzar de forma coordinada.;Bloquear la mayoría y crear contrajuego en el otro flanco.;Identificar la estructura, la peor pieza y la ruptura de cada bando antes de elegir una jugada.;ITA-S06 · Ampliación B
ITA-M01-P1;parada_modelo;Construcción sólida y centro abierto · Tras 4.O-O;Ampliación C · Tres partidas modelo desarrolladas;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1;r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQ1RK1 b kq - 5 4;negras;¿Por qué enrocar antes de c3-d4?;intermedio;La seguridad del rey es una condición para abrir líneas.;Identificar el recurso más activo del rival y explicar cómo cambia la estructura o la coordinación.;Continuar la partida únicamente después de verbalizar el plan de ambos bandos.;ITA-M01 · Tras 4.O-O
ITA-M01-P2;parada_modelo;Construcción sólida y centro abierto · Tras 6.d4;Ampliación C · Tres partidas modelo desarrolladas;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 g8f6 c2c3 e8g8 d2d4;r1bq1rk1/pppp1ppp/2n2n2/2b1p3/2BPP3/2P2N2/PP3PPP/RNBQ1RK1 b - d3 0 6;negras;¿Qué debe calcularse antes de la ruptura?;intermedio;Las capturas en d4 y e4, la seguridad de los reyes y qué piezas ganarán actividad.;Identificar el recurso más activo del rival y explicar cómo cambia la estructura o la coordinación.;Continuar la partida únicamente después de verbalizar el plan de ambos bandos.;ITA-M01 · Tras 6.d4
ITA-M01-P3;parada_modelo;Construcción sólida y centro abierto · Tras 8.Cc3;Ampliación C · Tres partidas modelo desarrolladas;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 g8f6 c2c3 e8g8 d2d4 e5d4 c3d4 c5b6 b1c3;r1bq1rk1/pppp1ppp/1bn2n2/8/2BPP3/2N2N2/PP3PPP/R1BQ1RK1 b - - 2 8;negras;¿Cuál era la peor pieza blanca?;intermedio;"El caballo de b1; Cc3 lo desarrolla y aumenta el control de d5 y e4.";Identificar el recurso más activo del rival y explicar cómo cambia la estructura o la coordinación.;Continuar la partida únicamente después de verbalizar el plan de ambos bandos.;ITA-M01 · Tras 8.Cc3
ITA-M01-P4;parada_modelo;Construcción sólida y centro abierto · Tras 10.Te1;Ampliación C · Tres partidas modelo desarrolladas;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 g8f6 c2c3 e8g8 d2d4 e5d4 c3d4 c5b6 b1c3 d7d6 c1e3 c8g4 f1e1;r2q1rk1/ppp2ppp/1bnp1n2/8/2BPP1b1/2N1BN2/PP3PPP/R2QR1K1 b - - 3 10;negras;¿Qué hace realmente la torre?;intermedio;Refuerza e4, ocupa la columna central y prepara respuestas tácticas.;Identificar el recurso más activo del rival y explicar cómo cambia la estructura o la coordinación.;Continuar la partida únicamente después de verbalizar el plan de ambos bandos.;ITA-M01 · Tras 10.Te1
ITA-M01-P5;parada_modelo;Construcción sólida y centro abierto · Tras 15.Cxe4;Ampliación C · Tres partidas modelo desarrolladas;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 g8f6 c2c3 e8g8 d2d4 e5d4 c3d4 c5b6 b1c3 d7d6 c1e3 c8g4 f1e1 f8e8 d1d2 f6e4 c3e4 e8e4 c4f7 g8f7 f3g5 f7g8 g5e4;r2q2k1/ppp3pp/1bnp4/8/3PN1b1/4B3/PP1Q1PPP/R3R1K1 b - - 0 15;negras;¿Qué enseñó la combinación?;intermedio;La táctica apareció porque las piezas estaban desarrolladas y las líneas abiertas.;Identificar el recurso más activo del rival y explicar cómo cambia la estructura o la coordinación.;Continuar la partida únicamente después de verbalizar el plan de ambos bandos.;ITA-M01 · Tras 15.Cxe4
ITA-M02-P1;parada_modelo;El precio de la precipitación · Tras 4.Dh5?!;Ampliación C · Tres partidas modelo desarrolladas;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 d1h5;r1bqk1nr/pppp1ppp/2n5/2b1p2Q/2B1P3/5N2/PPPP1PPP/RNB1K2R b KQkq - 5 4;negras;¿Qué gana y qué pierde la dama?;intermedio;Presiona f7, pero pierde tiempos y retrasa el desarrollo y el enroque.;Identificar el recurso más activo del rival y explicar cómo cambia la estructura o la coordinación.;Continuar la partida únicamente después de verbalizar el plan de ambos bandos.;ITA-M02 · Tras 4.Dh5?!
ITA-M02-P2;parada_modelo;El precio de la precipitación · Tras 7...d5;Ampliación C · Tres partidas modelo desarrolladas;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 d1h5 g7g6 h5f3 g8f6 c2c3 e8g8 d2d3 d7d5;r1bq1rk1/ppp2p1p/2n2np1/2bpp3/2B1P3/2PP1Q2/PP3PPP/RNB1K2R w KQ d6 0 8;blancas;¿Por qué la ruptura es fuerte?;intermedio;"Las negras tienen el rey seguro y mayor desarrollo; las rupturas castigan la falta de coordinación.";Identificar el recurso más activo del rival y explicar cómo cambia la estructura o la coordinación.;Continuar la partida únicamente después de verbalizar el plan de ambos bandos.;ITA-M02 · Tras 7...d5
ITA-M02-P3;parada_modelo;El precio de la precipitación · Tras 8...e4!;Ampliación C · Tres partidas modelo desarrolladas;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 d1h5 g7g6 h5f3 g8f6 c2c3 e8g8 d2d3 d7d5 e4d5 e5e4;r1bq1rk1/ppp2p1p/2n2np1/2bP4/2B1p3/2PP1Q2/PP3PPP/RNB1K2R w KQ - 0 9;blancas;¿Qué cambió al abrirse el centro?;intermedio;El caballo y la dama blancos quedan expuestos a ataques con ganancia de tiempo.;Identificar el recurso más activo del rival y explicar cómo cambia la estructura o la coordinación.;Continuar la partida únicamente después de verbalizar el plan de ambos bandos.;ITA-M02 · Tras 8...e4!
ITA-M02-P4;parada_modelo;El precio de la precipitación · Tras 10...Ce5;Ampliación C · Tres partidas modelo desarrolladas;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 d1h5 g7g6 h5f3 g8f6 c2c3 e8g8 d2d3 d7d5 e4d5 e5e4 d3e4 f6e4 e1g1 c6e5;r1bq1rk1/ppp2p1p/6p1/2bPn3/2B1n3/2P2Q2/PP3PPP/RNB2RK1 w - - 2 11;blancas;¿Qué pieza negra mejora?;intermedio;El caballo se centraliza atacando la dama y el alfil de c4.;Identificar el recurso más activo del rival y explicar cómo cambia la estructura o la coordinación.;Continuar la partida únicamente después de verbalizar el plan de ambos bandos.;ITA-M02 · Tras 10...Ce5
ITA-M02-P5;parada_modelo;El precio de la precipitación · Tras 11...Te8;Ampliación C · Tres partidas modelo desarrolladas;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 d1h5 g7g6 h5f3 g8f6 c2c3 e8g8 d2d3 d7d5 e4d5 e5e4 d3e4 f6e4 e1g1 c6e5 f3e4 f8e8;r1bqr1k1/ppp2p1p/6p1/2bPn3/2B1Q3/2P5/PP3PPP/RNB2RK1 w - - 1 12;blancas;¿Por qué la torre llega con fuerza?;intermedio;La columna e está abierta y las piezas blancas siguen descoordinadas.;Identificar el recurso más activo del rival y explicar cómo cambia la estructura o la coordinación.;Continuar la partida únicamente después de verbalizar el plan de ambos bandos.;ITA-M02 · Tras 11...Te8
ITA-M03-P1;parada_modelo;Centro cerrado y maniobra · Tras 6.c3;Ampliación C · Tres partidas modelo desarrolladas;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 d2d3 g8f6 e1g1 d7d6 c2c3;r1bqk2r/ppp2ppp/2np1n2/2b1p3/2B1P3/2PP1N2/PP3PPP/RNBQ1RK1 b kq - 0 6;negras;¿Por qué c3 sigue siendo útil sin jugar d4 enseguida?;intermedio;Reserva la ruptura, controla d4 y mantiene abiertas varias opciones.;Identificar el recurso más activo del rival y explicar cómo cambia la estructura o la coordinación.;Continuar la partida únicamente después de verbalizar el plan de ambos bandos.;ITA-M03 · Tras 6.c3
ITA-M03-P2;parada_modelo;Centro cerrado y maniobra · Tras 10.Cbd2;Ampliación C · Tres partidas modelo desarrolladas;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 d2d3 g8f6 e1g1 d7d6 c2c3 a7a6 c4b3 c5a7 f1e1 e8g8 h2h3 h7h6 b1d2;r1bq1rk1/bpp2pp1/p1np1n1p/4p3/4P3/1BPP1N1P/PP1N1PP1/R1BQR1K1 b - - 1 10;negras;¿Cuál es la ruta del caballo?;intermedio;"Cbd2-f1-g3; desde g3 participa en el flanco de rey y apoya e4.";Identificar el recurso más activo del rival y explicar cómo cambia la estructura o la coordinación.;Continuar la partida únicamente después de verbalizar el plan de ambos bandos.;ITA-M03 · Tras 10.Cbd2
ITA-M03-P3;parada_modelo;Centro cerrado y maniobra · Tras 12.Cg3;Ampliación C · Tres partidas modelo desarrolladas;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 d2d3 g8f6 e1g1 d7d6 c2c3 a7a6 c4b3 c5a7 f1e1 e8g8 h2h3 h7h6 b1d2 f8e8 d2f1 c8e6 f1g3;r2qr1k1/bpp2pp1/p1npbn1p/4p3/4P3/1BPP1NNP/PP3PP1/R1BQR1K1 b - - 5 12;negras;¿Qué debe vigilar el blanco?;intermedio;"La ruptura ...d5; el plan propio no puede ignorar el plan rival.";Identificar el recurso más activo del rival y explicar cómo cambia la estructura o la coordinación.;Continuar la partida únicamente después de verbalizar el plan de ambos bandos.;ITA-M03 · Tras 12.Cg3
ITA-M03-P4;parada_modelo;Centro cerrado y maniobra · Tras 14...d5;Ampliación C · Tres partidas modelo desarrolladas;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 d2d3 g8f6 e1g1 d7d6 c2c3 a7a6 c4b3 c5a7 f1e1 e8g8 h2h3 h7h6 b1d2 f8e8 d2f1 c8e6 f1g3 d8d7 c1c2 a8d8 d3d4 d6d5;3rr1k1/bppq1pp1/p1n1bn1p/3pp3/3PP3/1BP2NNP/PPB2PP1/R2QR1K1 w - - 0 15;blancas;¿Qué significa que ambos rompan el centro?;intermedio;La posición cambia de maniobra a cálculo y las piezas centrales ganan valor.;Identificar el recurso más activo del rival y explicar cómo cambia la estructura o la coordinación.;Continuar la partida únicamente después de verbalizar el plan de ambos bandos.;ITA-M03 · Tras 14...d5
ITA-M03-P5;parada_modelo;Centro cerrado y maniobra · Tras 17.Txe5;Ampliación C · Tres partidas modelo desarrolladas;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 d2d3 g8f6 e1g1 d7d6 c2c3 a7a6 c4b3 c5a7 f1e1 e8g8 h2h3 h7h6 b1d2 f8e8 d2f1 c8e6 f1g3 d8d7 c1c2 a8d8 d3d4 d6d5 e4d5 e6d5 f3e5 c6e5 e1e5;3rr1k1/bppq1pp1/p4n1p/3bR3/3P4/1BP3NP/PPB2PP1/R2Q2K1 b - - 0 17;negras;¿Qué debe hacer ahora el blanco?;intermedio;Reevaluar desde cero, completar el desarrollo y coordinar las torres.;Identificar el recurso más activo del rival y explicar cómo cambia la estructura o la coordinación.;Continuar la partida únicamente después de verbalizar el plan de ambos bandos.;ITA-M03 · Tras 17.Txe5
ITA-E01;ejercicio;Ejercicio 1;Parte XIII;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5;r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4;blancas;Tras 1.e4 e5 2.Cf3 Cc6 3.Ac4 Ac5, elige el plan más sano.;Básico;4.O-O: asegura el rey y activa la torre.;Comparar al menos dos candidatas y anticipar la respuesta más activa del rival.;Resolver sin mover, justificar la elección y revisar ITA-P03.;ITA-E01 · Parte XIII
ITA-E02;ejercicio;Ejercicio 2;Parte XIII;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 g8f6 c2c3;r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/2P2N2/PP1P1PPP/RNBQ1RK1 b kq - 0 5;negras;Has enrocado y jugado c3. ¿Qué ruptura temática debes considerar?;Básico;d4, después de comprobar las capturas.;Comparar al menos dos candidatas y anticipar la respuesta más activa del rival.;Resolver sin mover, justificar la elección y revisar ITA-P05.;ITA-E02 · Parte XIII
ITA-E03;ejercicio;Ejercicio 3;Parte XIII;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 d2d3 g8f6 e1g1 d7d6 c2c3 e8g8 f1e1 a7a6 c4b3 c5a7 h2h3 h7h6 b1d2 f8e8 d2f1 c8e6 f1g3;r2qr1k1/bpp2pp1/p1npbn1p/4p3/4P3/1BPP1NNP/PP3PP1/R1BQR1K1 b - - 5 12;negras;El negro prepara ...d5. ¿Qué debes hacer primero?;Básico;Calcular sus consecuencias y la nueva estructura.;Comparar al menos dos candidatas y anticipar la respuesta más activa del rival.;Resolver sin mover, justificar la elección y revisar ITA-P10.;ITA-E03 · Parte XIII
ITA-E04;ejercicio;Ejercicio 4;Parte XIII;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 d2d3 g8f6 e1g1 d7d6 c2c3;r1bqk2r/ppp2ppp/2np1n2/2b1p3/2B1P3/2PP1N2/PP3PPP/RNBQ1RK1 b kq - 0 6;negras;En un centro cerrado, ¿qué pieza suele mejorar mediante una maniobra?;Básico;El caballo, mediante Cbd2-f1-g3.;Comparar al menos dos candidatas y anticipar la respuesta más activa del rival.;Resolver sin mover, justificar la elección y revisar ITA-P09.;ITA-E04 · Parte XIII
ITA-E05;ejercicio;Ejercicio 5;Parte XIII;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 g8f6 c2c3 e8g8 d2d4 e5d4 c3d4 c5b6;r1bq1rk1/pppp1ppp/1bn2n2/8/2BPP3/5N2/PP3PPP/RNBQ1RK1 w - - 1 8;blancas;Tienes un peón aislado en d4 y muchas piezas. ¿Qué priorizas?;Básico;"Actividad; el peón aislado necesita dinamismo.";Comparar al menos dos candidatas y anticipar la respuesta más activa del rival.;Resolver sin mover, justificar la elección y revisar ITA-S05.;ITA-E05 · Parte XIII
ITA-E06;ejercicio;Ejercicio 6;Parte XIII;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5;r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4;blancas;El alfil de c4 es atacado por ...Ca5. ¿Qué preguntas haces?;Básico;Dónde conservarlo y qué gana el negro con el ataque.;Comparar al menos dos candidatas y anticipar la respuesta más activa del rival.;Resolver sin mover, justificar la elección y revisar ITA-P03.;ITA-E06 · Parte XIII
ITA-E07;ejercicio;Ejercicio 7;Parte XIII;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 g8f6;r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 6 5;blancas;El rival amenaza e4 con ...Cf6. ¿Siempre debes defender?;Básico;"No; primero hay que calcular las respuestas activas.";Comparar al menos dos candidatas y anticipar la respuesta más activa del rival.;Resolver sin mover, justificar la elección y revisar ITA-P04.;ITA-E07 · Parte XIII
ITA-E08;ejercicio;Ejercicio 8;Parte XIII;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5;r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4;blancas;Antes de sacrificar en f7, ¿qué revisas?;Básico;Atacantes, defensores y continuación forzada.;Comparar al menos dos candidatas y anticipar la respuesta más activa del rival.;Resolver sin mover, justificar la elección y revisar ITA-P03.;ITA-E08 · Parte XIII
