codigo;tipo;titulo;capitulo;secuencia;FEN;bando_que_mueve;objetivo;nivel;comentario_blancas;comentario_negras;continuidad_didactica;referencia_en_manual
GDR-P11;ficha;Momento de ...dxc4;Ampliación A;;r1bq1rk1/pp1nbppp/2p1p3/3n2B1/2BP4/2N1PN2/PP3PPP/2RQK2R w K - 0 1;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;GDR-P11
GDR-P12;ficha;Liberación con ...e5;Ampliación A;;r1b2rk1/pp1nqppp/2p5/4p3/2BP4/2R1PN2/PP3PPP/3Q1RK1 w - - 0 1;Blancas;r1bq1rk1/pppnbppp/5n2/3p2B1/3P4/2NBP3/PP3PPP/R2QK1NR w KQ - 0 1 · El blanco prepara b4-b5. Nombra el objetivo exacto del ataque de minorías y compara ...Cf8 y ...a5 como respuestas. ¿Cuál mejora una pieza y cuál modifica la estructura del ala?;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;GDR-P12
GDR-S01;estructura;Ortodoxa cerrada;Parte VIII;;r1bq1rk1/pp1nbppp/2p1pn2/3p2B1/2PP4/2N1PN2/PP3PPP/2RQKB1R w K - 0 1;Blancas;forma parte de una mayoría central sana, pero c6/c7 puede convertirse en objetivo fijo.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;GDR-S01
GDR-S02;estructura;Carlsbad;Parte VIII;;r1bq1rk1/pppnbppp/5n2/3p2B1/3P4/2NBP3/PP3PPP/R2QK1NR w KQ - 0 1;Blancas;forma parte de una mayoría central sana, pero c6/c7 puede convertirse en objetivo fijo.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;GDR-S02
GDR-S03;estructura;IQP negro;Parte VIII;;rnbq1rk1/pp3ppp/5n2/2bp4/5B2/2N1PN2/PP3PPP/R2QKB1R w KQ - 0 1;Blancas;simplificar porque 'hay menos espacio' sin comprobar que el único rasgo restante sea d5 débil.;800-1400 Elo;"...Cbd7 y decidir entre ...c6, ...c5 o una captura en c4 cuando gane un tiempo. Blancas: Ag5/Af4, e3 y desarrollo, con opción de cambiar en d5. El alfil c8 sigue siendo la peor pieza negra; el caballo b1/c3 y el alfil c1 marcan qué plan blanco será más rápido.";Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;GDR-S03
GDR-S04;estructura;Centro simétrico con tensión;Parte VIII;;rnbq1rk1/ppp1bppp/4pn2/3p4/2PP4/2N1PN2/PP3PPP/R1BQKB1R w KQ - 0 1;Blancas;el objetivo no es ganar espacio por sí mismo, sino abrir líneas y liberar el alfil c8.;800-1400 Elo;"...Cbd7 y decidir entre ...c6, ...c5 o una captura en c4 cuando gane un tiempo. Blancas: Ag5/Af4, e3 y desarrollo, con opción de cambiar en d5. El alfil c8 sigue siendo la peor pieza negra; el caballo b1/c3 y el alfil c1 marcan qué plan blanco será más rápido.";Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;GDR-S04
GDR-S05;estructura;Centro liberado por ...e5;Parte VIII;;r1b2rk1/pp2qppp/2p5/4n3/2B5/2R1PN2/PP3PPP/3Q1RK1 w - - 0 1;Blancas;el objetivo no es ganar espacio por sí mismo, sino abrir líneas y liberar el alfil c8.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;GDR-S05
GDR-S06;estructura;Harrwitz abierto;Parte VIII;;r1bq1rk1/pp3ppp/2n1pn2/2bp4/2P2B2/2N1PN2/PPQ2PPP/R3KB1R w KQ - 0 1;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;GDR-S06
GDR-M01-P02;partida_modelo;FEN: r1bq1rk1/pppnbppp/4pn2/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R w KQ - 0 1;Parte X/XI/XIII;;r1bq1rk1/pppnbppp/4pn2/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R w KQ - 0 1;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;seguir simplificando sin ruptura y permitir e4-e5. Continuidad: GDR-S05 y GDR-P12.;GDR-M01-P02
GDR-E17;ejercicio;Decidir;Parte X/XI/XIII;;r1bq1rk1/pppnbppp/5n2/3p2B1/3P4/2NBP3/PP3PPP/R2QK1NR w KQ - 0 1;Blancas;r1bq1rk1/pppnbppp/5n2/3p2B1/3P4/2NBP3/PP3PPP/R2QK1NR w KQ - 0 1 · El blanco prepara b4-b5. Nombra el objetivo exacto del ataque de minorías y compara ...Cf8 y ...a5 como respuestas. ¿Cuál mejora una pieza y cuál modifica la estructura del ala?;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;GDR-E17
GDR-E16;ejercicio;Reconocer;Parte X/XI/XIII;;r1bq1rk1/pppnbppp/5n2/3p2B1/3P4/2NBP3/PP3PPP/R2QK1NR w KQ - 0 1;Blancas;r1bq1rk1/pppnbppp/5n2/3p2B1/3P4/2NBP3/PP3PPP/R2QK1NR w KQ - 0 1 · El blanco prepara b4-b5. Nombra el objetivo exacto del ataque de minorías y compara ...Cf8 y ...a5 como respuestas. ¿Cuál mejora una pieza y cuál modifica la estructura del ala?;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;GDR-E16
GDR-F02;final;Final derivado del IQP;Parte X/XI/XIII;;3r2k1/pp2bppp/2n2n2/q3p3/2B3b1/P1N1PNB1/1PQ2PPP/5RK1 w - - 0 1;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;la liberación con ...c5/...e5 puede dejar un peón d aislado o un centro abierto. Plan negro: mantener piezas activas, ocupar e4/c4 y considerar ...d4 cuando el avance gane un tiempo. Plan blanco: bloquear d4/d5 y cambiar la pieza que sostiene el avance.;la liberación con ...c5/...e5 puede dejar un peón d aislado o un centro abierto. Plan negro: mantener piezas activas, ocupar e4/c4 y considerar ...d4 cuando el avance gane un tiempo. Plan blanco: bloquear d4/d5 y cambiar la pieza que sostiene el avance.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;GDR-F02
GDR-E25;ejercicio;Tablero virtual;Parte X/XI/XIII;;r1bq1rk1/pppnbppp/4pn2/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R w KQ - 0 1;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;rnbq1rk1/pp2bppp/4pn2/2pp4/2PP1B2/2N1PN2/PP3PPP/R2QKB1R w KQ - 0 1 · Reproduce ...c5 y analiza dos respuestas blancas: dxc5 y Tc1. ¿Qué plan negro corresponde a cada una?;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;GDR-E25
GDR-M03-P02;partida_modelo;FEN: rnbq1rk1/pp2bppp/4pn2/2pp4/2PP1B2/2N1PN2/PP3PPP/R2QKB1R w KQ - 0 1;Parte X/XI/XIII;;rnbq1rk1/pp2bppp/4pn2/2pp4/2PP1B2/2N1PN2/PP3PPP/R2QKB1R w KQ - 0 1;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;jugar ...e5 si d5/e5 no están tácticamente sostenidos. Continuidad: GDR-S05/S06.;GDR-M03-P02
GDR-M01-P05;partida_modelo;FEN: r1b2rk1/pp2qppp/2p5/8/2B2P2/2R1P3/PP4PP/3Q1RK1 w - - 0 1;Parte X/XI/XIII;;r1b2rk1/pp2qppp/2p5/8/2B2P2/2R1P3/PP4PP/3Q1RK1 w - - 0 1;Blancas;aprender la Carlsbad y responder al ataque de minorías.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;e3 seguido de Ad3/Cge2. Error: responder a la Carlsbad con defensa de peones antes de saber qué plan eligió el blanco. Continuidad: GDR-P06 y GDR-S02.;GDR-M01-P05
GDR-E19;ejercicio;Explicar;Parte X/XI/XIII;;r1bq1rk1/pp1nbppp/2p1pn2/6B1/2pP4/2NBPN2/PP3PPP/2RQK2R w K - 0 1;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;GDR-E19
GDR-E21;ejercicio;Reconocer;Parte X/XI/XIII;;rnbqk2r/ppp1bppp/5n2/3p2B1/3P4/2N5/PP2PPPP/R2QKBNR w KQkq - 0 1;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;GDR-E21
GDR-M01-P01;partida_modelo;FEN: rnbqk2r/ppp1bppp/4pn2/3p2B1/2PP4/2N5/PP2PPPP/R2QKBNR w KQkq - 0 1;Parte X/XI/XIII;;rnbqk2r/ppp1bppp/4pn2/3p2B1/2PP4/2N5/PP2PPPP/R2QKBNR w KQkq - 0 1;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Cf3, manteniendo e4 y cxd5 en reserva. Error práctico: buscar ...c5 o ...h6 sin haber resuelto el rey. Continuidad: GDR-P03/P04 y GDR-S04.;intentar conservar el peón c4. Continuidad: GDR-P11, GDR-E18 y la secuencia del PGN M01.;GDR-M01-P01
GDR-M01-P03;partida_modelo;FEN: r1bq1rk1/pp1nbppp/2p1pn2/6B1/2pP4/2NBPN2/PP3PPP/2RQK2R w K - 0 1;Parte X/XI/XIII;;r1bq1rk1/pp1nbppp/2p1pn2/6B1/2pP4/2NBPN2/PP3PPP/2RQK2R w K - 0 1;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;"medir la posición por espacio solamente; tras la liberación, cuentan líneas y coordinación. Continuidad: GDR-S05 y GDR-F02.";GDR-M01-P03
GDR-E18;ejercicio;Continuar;Parte X/XI/XIII;;r1bq1rk1/pp1nbppp/2p1pn2/3p2B1/2PP4/2N1PN2/PP3PPP/2RQKB1R w K - 0 1;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;GDR-E18
GDR-M01-P04;partida_modelo;FEN: r1b2rk1/pp1nqppp/2p1p3/8/2BP4/2n1PN2/PP3PPP/2RQ1RK1 w - - 0 1;Parte X/XI/XIII;;r1b2rk1/pp1nqppp/2p1p3/8/2BP4/2n1PN2/PP3PPP/2RQ1RK1 w - - 0 1;Blancas;aprender la Carlsbad y responder al ataque de minorías.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;"medir la posición por espacio solamente; tras la liberación, cuentan líneas y coordinación. Continuidad: GDR-S05 y GDR-F02.";GDR-M01-P04
GDR-M02-P01;partida_modelo;FEN: rnbqkb1r/ppp2ppp/5n2/3p4/3P4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 1;Parte X/XI/XIII;;rnbqkb1r/ppp2ppp/5n2/3p4/3P4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 1;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;considerar ...Cf8 una retirada pasiva: su valor depende de la ruta posterior y de la columna e. Continuidad: GDR-E28 y GDR-S02.;GDR-M02-P01
GDR-M02-P02;partida_modelo;FEN: rnbq1rk1/ppp1bppp/5n2/3p2B1/3P4/2N1P3/PP3PPP/R2QKBNR w KQ - 0 1;Parte X/XI/XIII;;rnbq1rk1/ppp1bppp/5n2/3p2B1/3P4/2N1P3/PP3PPP/R2QKBNR w KQ - 0 1;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;gastar todos los tiempos en a- y b-peones. Continuidad: GDR-M02-P05 y GDR-E16/E34.;GDR-M02-P02
GDR-M02-P03;partida_modelo;FEN: r1bqr1k1/pppnbppp/5n2/3p2B1/3P4/2NBP3/PP2NPPP/R2QK2R w KQ - 0 1;Parte X/XI/XIII;;r1bqr1k1/pppnbppp/5n2/3p2B1/3P4/2NBP3/PP2NPPP/R2QK2R w KQ - 0 1;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;defender c6 desde atrás con torres pasivas. Continuidad: GDR-F01 y la idea de segunda debilidad.;GDR-M02-P03
GDR-E28;ejercicio;Continuar;Parte X/XI/XIII;;rnbq1rk1/ppp1bppp/4pn2/3p4/2PP4/2N1PN2/PP3PPP/R1BQKB1R w KQ - 0 1;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;rnbq1rk1/pp2bppp/4pn2/2pp4/2PP1B2/2N1PN2/PP3PPP/R2QKB1R w KQ - 0 1 · Reproduce ...c5 y analiza dos respuestas blancas: dxc5 y Tc1. ¿Qué plan negro corresponde a cada una?;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;GDR-E28
GDR-M02-P04;partida_modelo;FEN: r1bqrnk1/1p2bppp/2p2n2/p2p2B1/3P4/2NBP3/PPQ1NPPP/1R3RK1 w - - 0 1;Parte X/XI/XIII;;r1bqrnk1/1p2bppp/2p2n2/p2p2B1/3P4/2NBP3/PPQ1NPPP/1R3RK1 w - - 0 1;Blancas;usar ...c5 contra Af4 antes de que el blanco consolide.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;defender c6 desde atrás con torres pasivas. Continuidad: GDR-F01 y la idea de segunda debilidad.;GDR-M02-P04
GDR-M02-P05;partida_modelo;FEN: r1bqr1k1/1p2bpp1/2p2nnp/1P1p2B1/3P4/2NBP3/2Q1NPPP/1R3RK1 w - - 0 1;Parte X/XI/XIII;;r1bqr1k1/1p2bpp1/2p2nnp/1P1p2B1/3P4/2NBP3/2Q1NPPP/1R3RK1 w - - 0 1;Blancas;usar ...c5 contra Af4 antes de que el blanco consolide.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;e3, manteniendo dxc5/Tc1. Error: ...Ch5 por reflejo, creando huecos y tiempos sin asegurar el alfil. Continuidad: GDR-P08 y GDR-E21.;GDR-M02-P05
GDR-F01;final;Final derivado de la Carlsbad;Parte X/XI/XIII;;r2qr1k1/3b1pp1/2p2b1p/3p4/3P3n/2NBP1N1/2Q2PPP/1R2R1K1 w - - 0 1;Blancas;"una pareja de torres puede cambiarse si la torre restante entra activa; cambiar ambas sin rey centralizado convierte c6 en un objetivo estático.";800-1400 Elo;la liberación con ...c5/...e5 puede dejar un peón d aislado o un centro abierto. Plan negro: mantener piezas activas, ocupar e4/c4 y considerar ...d4 cuando el avance gane un tiempo. Plan blanco: bloquear d4/d5 y cambiar la pieza que sostiene el avance.;la liberación con ...c5/...e5 puede dejar un peón d aislado o un centro abierto. Plan negro: mantener piezas activas, ocupar e4/c4 y considerar ...d4 cuando el avance gane un tiempo. Plan blanco: bloquear d4/d5 y cambiar la pieza que sostiene el avance.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;GDR-F01
GDR-M03-P01;partida_modelo;FEN: rnbqk2r/ppp1bppp/4pn2/3p4/2PP1B2/2N5/PP2PPPP/R2QKBNR w KQkq - 0 1;Parte X/XI/XIII;;rnbqk2r/ppp1bppp/4pn2/3p4/2PP1B2/2N5/PP2PPPP/R2QKBNR w KQkq - 0 1;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;repetir movimientos de dama sin una amenaza verificable. Continuidad: GDR-M03-P04.;GDR-M03-P01
GDR-M03-P03;partida_modelo;FEN: r1bq1rk1/pp3ppp/2n1pn2/2bp4/2P2B2/2N1PN2/PPQ2PPP/R3KB1R w KQ - 0 1;Parte X/XI/XIII;;r1bq1rk1/pp3ppp/2n1pn2/2bp4/2P2B2/2N1PN2/PPQ2PPP/R3KB1R w KQ - 0 1;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;seguir aplicando recetas de apertura cuando la posición es ya un medio juego abierto. Continuidad: GDR-F02 y el diario de transferencia.;GDR-M03-P03
GDR-M03-P04;partida_modelo;FEN: r1b2rk1/pp2bppp/2n1pn2/q7/2p2B2/P1NBPN2/1PQ2PPP/3RK2R w K - 0 1;Parte X/XI/XIII;;r1b2rk1/pp2bppp/2n1pn2/q7/2p2B2/P1NBPN2/1PQ2PPP/3RK2R w K - 0 1;Blancas;"una pareja de torres puede cambiarse si la torre restante entra activa; cambiar ambas sin rey centralizado convierte c6 en un objetivo estático.";800-1400 Elo;el ataque de minorías ha provocado una debilidad en c6 y las piezas mayores empiezan a cambiarse. Plan negro: activar rey y torres por e- y c-files, buscar ...c5 si aún es posible y no atarse a c6. Plan blanco: fijar c6/b7 y crear una segunda debilidad antes de cambiar la última torre.;el ataque de minorías ha provocado una debilidad en c6 y las piezas mayores empiezan a cambiarse. Plan negro: activar rey y torres por e- y c-files, buscar ...c5 si aún es posible y no atarse a c6. Plan blanco: fijar c6/b7 y crear una segunda debilidad antes de cambiar la última torre.;seguir aplicando recetas de apertura cuando la posición es ya un medio juego abierto. Continuidad: GDR-F02 y el diario de transferencia.;GDR-M03-P04
GDR-M03-P05;partida_modelo;FEN: 3r2k1/pp2bppp/2n2n2/q3p3/2B3b1/P1N1PNB1/1PQ2PPP/5RK1 w - - 0 1;Parte X/XI/XIII;;3r2k1/pp2bppp/2n2n2/q3p3/2B3b1/P1N1PNB1/1PQ2PPP/5RK1 w - - 0 1;Blancas;"una pareja de torres puede cambiarse si la torre restante entra activa; cambiar ambas sin rey centralizado convierte c6 en un objetivo estático.";800-1400 Elo;el ataque de minorías ha provocado una debilidad en c6 y las piezas mayores empiezan a cambiarse. Plan negro: activar rey y torres por e- y c-files, buscar ...c5 si aún es posible y no atarse a c6. Plan blanco: fijar c6/b7 y crear una segunda debilidad antes de cambiar la última torre.;el ataque de minorías ha provocado una debilidad en c6 y las piezas mayores empiezan a cambiarse. Plan negro: activar rey y torres por e- y c-files, buscar ...c5 si aún es posible y no atarse a c6. Plan blanco: fijar c6/b7 y crear una segunda debilidad antes de cambiar la última torre.;seguir aplicando recetas de apertura cuando la posición es ya un medio juego abierto. Continuidad: GDR-F02 y el diario de transferencia.;GDR-M03-P05
GDR-E36;ejercicio;Reconocer;Parte X/XI/XIII;;rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 1;Blancas;r1bq1rk1/pp3ppp/2n1pn2/2bp4/2P2B2/2N1PN2/PPQ2PPP/R3KB1R w KQ - 0 1 · Mueven blancas. Juega mentalmente 9.Td1 y compara ...Da5 con ...De7: para cada candidata da objetivo, respuesta blanca más molesta y efecto sobre la coordinación.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;GDR-E36
GDR-E01;ejercicio;GDR-P01;Parte X/XI/XIII;;rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 1;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;rnbqk2r/ppp1bppp/5n2/3p2B1/3P4/2N5/PP2PPPP/R2QKBNR w KQkq - 0 1 · Reconoce el plan blanco más típico y compara dos respuestas negras: ...Te8 y ...c6. ¿Cuál mejora una pieza y cuál fija la estructura?;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;GDR-E01
