codigo;tipo;titulo;capitulo;secuencia;FEN;bando_que_mueve;objetivo;nivel;comentario_blancas;comentario_negras;continuidad_didactica;referencia_en_manual
SLA-P11;ficha;Peón g6 tras Cxg6 hxg6;Ampliación A;7.Cxg6 hxg6;rn1qkb1r/pp3pp1/2p1pnp1/3p4/2PP4/2N1P3/PP3PPP/R1BQKB1R w KQkq - 0 8;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;SLA-P11
SLA-P12;ficha;La ruptura ...e5;Ampliación A;12.Ab2 e5;r4rk1/pp1nqpp1/2pb1np1/3pp3/2PP4/1PNBP2P/PB3PP1/R2Q1RK1 w - - 0 13;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;SLA-P12
SLA-S01;estructura;Juegan las blancas;Parte VIII;;r2q1rk1/pp1n1ppp/2p1pn2/5b2/PbBP4/2N1PN2/1P2QPPP/R1B2RK1 w - - 5 10;Blancas;si el centro se aclara, la actividad de piezas pesa más que la pequeña diferencia de espacio. Error: retirar el alfil varias veces sin ganar nada.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;SLA-S01
SLA-S02;estructura;Juegan las blancas;Parte VIII;;r2q1rk1/pp1n1ppp/2p1pn2/7b/Pb1PP3/2NB1N2/1P2QPPP/R1B2RK1 w - - 3 12;Blancas;si el centro se aclara, la actividad de piezas pesa más que la pequeña diferencia de espacio. Error: retirar el alfil varias veces sin ganar nada.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;SLA-S02
SLA-S03;estructura;Juegan las blancas;Parte VIII;;r2qkb1r/pp3ppp/2n1pn2/3p1b2/3P1B2/2N1PN2/PP3PPP/R2QKB1R w KQkq - 0 8;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;SLA-S03
SLA-S04;estructura;Juegan las blancas;Parte VIII;;r3k2r/pp3ppp/2nqpn2/3p4/3P4/2NQPN2/PP3PPP/R3K2R w KQkq - 0 11;Blancas;g6 puede ser débil, pero la mayoría de peones sigue sana y la torre h puede activarse. Error: jugar ...g5 o ...h5 antes de enrocar.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;SLA-S04
SLA-S05;estructura;Juegan las blancas;Parte VIII;;r2qkb1r/pp1n1pp1/2p1pnp1/3p4/2PP4/2NBP3/PP3PPP/R1BQK2R w KQkq - 2 9;Blancas;g6 puede ser débil, pero la mayoría de peones sigue sana y la torre h puede activarse. Error: jugar ...g5 o ...h5 antes de enrocar.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;SLA-S05
SLA-S06;estructura;Juegan las blancas;Parte VIII;;r4rk1/pp1nqpp1/3b1np1/3pp3/3P4/1PNBP2P/PB3PP1/R2Q1RK1 w - - 0 14;Blancas;calcula si Db3 ataca dos objetivos.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;SLA-S06
SLA-M01-P3;partida_modelo;Juegan las blancas;Parte X/XI/XIII;;r2q1rk1/pp1n1ppp/2p1pn2/5b2/PbBP4/2N1PN2/1P2QPPP/R1B2RK1 w - - 5 10;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;"12.e5 es la continuación crítica y expulsa Cf6; 12.Td1 consolida; 12.Af4 desarrolla. Tras 12.e5, 12...Cd5 usa la casilla que el avance blanco ha dejado disponible. Retirar el caballo a e8 sería demasiado pasivo. Continuidad: SLA-S02, M01-P5, E26.";SLA-M01-P3
SLA-E25;ejercicio;misma FEN;Parte X/XI/XIII;;r2q1rk1/pp1n1ppp/2p1pn2/5b2/PbBP4/2N1PN2/1P2QPPP/R1B2RK1 w - - 5 10;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;SLA-E25
SLA-E40;ejercicio;misma FEN;Parte X/XI/XIII;;r2q1rk1/pp1n1ppp/2p1pn2/5b2/PbBP4/2N1PN2/1P2QPPP/R1B2RK1 w - - 5 10;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;SLA-E40
SLA-M01-P4;partida_modelo;Juegan las blancas;Parte X/XI/XIII;;r2q1rk1/pp1n1ppp/2p1pn2/7b/Pb1PP3/2NB1N2/1P2QPPP/R1B2RK1 w - - 3 12;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;"14.De2 conserva coordinación; 14.Dg4 busca actividad pero puede exponerse; 14.Df3 permite ...Dh4. El negro ya no debe pensar en 'recuperar espacio' inmediatamente: primero consolida Cd5 y vigila Cxd5/exd5. Aprendizaje: un buen puesto avanzado puede compensar menos espacio. Continuidad: SLA-S02 y repertorio de medio juego.";SLA-M01-P4
SLA-E26;ejercicio;misma FEN;Parte X/XI/XIII;;r2q1rk1/pp1n1ppp/2p1pn2/7b/Pb1PP3/2NB1N2/1P2QPPP/R1B2RK1 w - - 3 12;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;SLA-E26
SLA-M02-P1;partida_modelo;Juegan las blancas;Parte X/XI/XIII;;rnbqkb1r/pp2pppp/5n2/3p4/3P4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 5;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;"8.Ad3 ofrece el cambio del alfil negro; 8.Tc1 ocupa la columna; 8.Db3 presiona b7/d5. Tras 8.Ad3, 8...Axd3 elimina una pieza activa y simplifica sin dañar la estructura. Evita cambios que solo favorezcan el desarrollo rival. Continuidad: SLA-P09, S03, E21/E36.";SLA-M02-P1
SLA-E27;ejercicio;misma FEN;Parte X/XI/XIII;;r2qkb1r/pp3ppp/2n1pn2/3p1b2/3P1B2/2N1PN2/PP3PPP/R2QKB1R w KQkq - 0 8;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;SLA-E27
SLA-M02-P3;partida_modelo;Juegan las blancas;Parte X/XI/XIII;;r2qk2r/pp3ppp/2nbpn2/3p4/3P1B2/2NQPN2/PP3PPP/R3K2R w KQkq - 1 10;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;"12.Tac1 disputa c; 12.Cb5 busca tiempo sobre la dama; 12.Tfc1 es otra colocación. A 12.Tac1, 12...Tac8 iguala la lucha por la columna. Jugar ...Tfd8 primero dejaría c8 al blanco sin necesidad. Continuidad: SLA-S04, F01, E28.";SLA-M02-P3
SLA-F01;final;Juegan las blancas;Parte X/XI/XIII;;2rr2k1/p4p1p/4p3/3p4/3P4/3QP3/P4P1P/5RK1 w - - 0 30;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;SLA-F01
SLA-E28;ejercicio;misma FEN;Parte X/XI/XIII;;r3k2r/pp3ppp/2nqpn2/3p4/3P4/2NQPN2/PP3PPP/R3K2R w KQkq - 0 11;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;SLA-E28
SLA-M03-P2;partida_modelo;Juegan las blancas;Parte X/XI/XIII;;rn1qkb1r/pp3pp1/2p1pnp1/3p4/2PP4/2N1P3/PP3PPP/R1BQKB1R w KQkq - 0 8;Blancas;g6 puede ser objetivo, pero la columna h y las casillas f5/h5 pertenecen ahora al negro.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;"10.h3 evita ideas incómodas y crea una casilla; 10.f4 sería más ambicioso; 10.b3 desarrolla. Tras 10.h3, 10...O-O completa la prioridad mayor. Error a evitar: iniciar ...e5 con el rey en e8 solo porque el centro parece estable. Continuidad: S05/M03-P4.";SLA-M03-P2
SLA-E29;ejercicio;misma FEN;Parte X/XI/XIII;;r2qkb1r/pp1n1pp1/2p1pnp1/3p4/2PP4/2NBP3/PP3PPP/R1BQK2R w KQkq - 2 9;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;SLA-E29
SLA-M03-P4;partida_modelo;Juegan las blancas;Parte X/XI/XIII;;r4rk1/pp1nqpp1/2pbpnp1/3p4/2PP4/1PNBP2P/P4PP1/R1BQ1RK1 w - - 1 12;Blancas;proceden de las estructuras del repertorio mediante simplificaciones naturales. El objetivo es conservar la continuidad apertura → estructura → medio juego → final.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;proceden de las estructuras del repertorio mediante simplificaciones naturales. El objetivo es conservar la continuidad apertura → estructura → medio juego → final.;SLA-M03-P4
SLA-F02;final;Juegan las blancas;Parte X/XI/XIII;;rb4k1/p4p2/6p1/1N1p4/3Pp3/1P1BP2P/P4P2/5RK1 w - - 0 30;Blancas;SLA-P12 → SLA-S06 → SLA-M03-P5 → SLA-F02. Pregunta de partida real: ¿el peón avanzado es espacio o un objetivo para el rey?;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;SLA-F02
SLA-E30;ejercicio;misma FEN;Parte X/XI/XIII;;r4rk1/pp1nqpp1/3b1np1/3pp3/3P4/1PNBP2P/PB3PP1/R2Q1RK1 w - - 0 14;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;SLA-E30
SLA-M01-P1;partida_modelo;Juegan las blancas;Parte X/XI/XIII;;rnbqkb1r/pp2pppp/2p2n2/8/2pP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5;Blancas;"5.a4 es la prueba principal porque corta ...b5; 5.e3 recupera sin profilaxis; 5.e4 es más aguda. Tras 5.a4, el negro elige 5...Af5 antes que 5...b5: desarrolla una pieza y controla e4. Descartar ...b5 por automatismo evita convertir el ala de dama en un objetivo. Continuidad: SLA-P03/P04, SLA-S01, E16/E31.";800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;"8.O-O resuelve la seguridad; 8.Ad2 rompe la clavada; 8.De2 prepara e4. El repertorio espera 8.O-O y responde 8...O-O. ...Axc3 no se juega por reflejo: solo conviene si la estructura o el control de e4 justifican entregar la pareja de alfiles. Continuidad: SLA-P06/P07, E18/E33.";SLA-M01-P1
SLA-M01-P2;partida_modelo;Juegan las blancas;Parte X/XI/XIII;;rn1qk2r/pp3ppp/2p1pn2/5b2/PbBP4/2N1PN2/1P3PPP/R1BQK2R w KQkq - 1 8;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;"10.e4 gana espacio; 10.Td1 mejora una torre; 10.Ad3 busca el alfil f5. Tras 10.e4, 10...Ag6 conserva el alfil. Una ruptura negra inmediata ...c5/e5 no es necesaria antes de ver cómo queda el centro. Continuidad: SLA-S01/S02, E25/E40.";SLA-M01-P2
SLA-M01-P5;partida_modelo;Juegan las blancas;Parte X/XI/XIII;1.d4 d5 2.c4 c6 3.cxd5 cxd5 4.Cc3 Cf6 5.Cf3 Cc6 6.Af4 Af5 7.e3 e6 8.Ad3 Axd3 9.Dxd3 Ad6 10.Axd6 Dxd6 11.O-O O-O 12.Tac1 Tac8 13.Cb5 De7 14.Cc3 Tfd8;r2q1rk1/pp1n1ppp/2p1p1b1/3nP3/Pb1PQ3/2NB1N2/1P3PPP/R1B2RK1 w - - 3 14;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;"5.Cf3 desarrolla; 5.Af4 activa el alfil; 5.e3 es sólido. Contra 5.Cf3, 5...Cc6 aprovecha que c6 ya está libre. ...a6 no crea una amenaza útil y cede un tiempo. Continuidad: SLA-P08, S03, E20/E35.";SLA-M01-P5
SLA-M02-P2;partida_modelo;Juegan las blancas;Parte X/XI/XIII;;r2qkb1r/pp3ppp/2n1pn2/3p1b2/3P1B2/2N1PN2/PP3PPP/R2QKB1R w KQkq - 0 8;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;10.Axd6 simplifica, 10.Ag3 conserva piezas, 10.O-O enroca. La línea 10.Axd6 Dxd6 deja a la dama negra centralizada y preparada para O-O. No persigas la dama blanca con peones: completa desarrollo. Continuidad: SLA-S04, M02-P4.;SLA-M02-P2
SLA-M02-P4;partida_modelo;Juegan las blancas;Parte X/XI/XIII;;r4rk1/pp3ppp/2nqpn2/3p4/3P4/2NQPN2/PP3PPP/R4RK1 w - - 2 12;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;"14.Cc3 vuelve a una casilla estable; 14.a3 puede intentar sostener b5; 14.Tc2 prepara doblar. El negro responde al regreso con ...Tfd8, aumentando presión sobre d4/d5. La lección no es expulsar el caballo con ...a6 a cualquier precio, sino hacer útil el tiempo de dama. Continuidad: S04/F01.";SLA-M02-P4
SLA-M02-P5;partida_modelo;Juegan las blancas;Parte X/XI/XIII;1.d4 d5 2.c4 c6 3.Cf3 Cf6 4.e3 Af5 5.Cc3 e6 6.Ch4 Ag6 7.Cxg6 hxg6 8.Ad3 Cbd7 9.O-O Ad6 10.h3 O-O 11.b3 De7 12.Ab2 e5 13.cxd5 cxd5 14.Cb5 Ab8 15.Tc1 e4 16.Ae2 a6 17.Cc3 Ad6;2r2rk1/pp2qppp/2n1pn2/1N1p4/3P4/3QPN2/PP3PPP/2R2RK1 w - - 6 14;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;5.Cc3 aumenta presión, 5.cxd5 cambia, 5.Ch4 persigue el alfil. El repertorio espera 5.Cc3 e6. ...e6 ahora sí es coherente porque el alfil ya está fuera. Continuidad: SLA-P10, E22/E37.;SLA-M02-P5
SLA-M03-P1;partida_modelo;Juegan las blancas;Parte X/XI/XIII;;rn1qkb1r/pp2pppp/2p2n2/3p1b2/2PP4/4PN2/PP3PPP/RNBQKB1R w KQkq - 1 5;Blancas;g6 puede ser objetivo, pero la columna h y las casillas f5/h5 pertenecen ahora al negro.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;"8.Ad3 presiona g6/h7; 8.b3 prepara Ab2; 8.Ae2 completa desarrollo. Tras 8.Ad3, 8...Cbd7 mejora la peor pieza. Un ataque inmediato con ...Th4 no existe sin desarrollo. Continuidad: SLA-P11/S05, E23/E38.";SLA-M03-P1
SLA-M03-P3;partida_modelo;Juegan las blancas;Parte X/XI/XIII;;r2qk2r/pp1n1pp1/2pbpnp1/3p4/2PP4/2NBP3/PP3PPP/R1BQ1RK1 w kq - 4 10;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;"13.cxd5 aclara el centro; 13.dxe5 cambia el peón e; 13.c5 gana espacio. Ante 13.cxd5, 13...cxd5 abre la columna c y mantiene d5-e5. La ruptura no se juega antes porque la apertura de líneas habría favorecido al rey blanco mejor coordinado. Continuidad: SLA-P12/S06, E24.";SLA-M03-P3
SLA-M03-P5;partida_modelo;Juegan las blancas;Parte X/XI/XIII;;r4rk1/pp1nqpp1/3b1np1/3pp3/3P4/1PNBP2P/PB3PP1/R2Q1RK1 w - - 0 14;Blancas;proceden de las estructuras del repertorio mediante simplificaciones naturales. El objetivo es conservar la continuidad apertura → estructura → medio juego → final.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;proceden de las estructuras del repertorio mediante simplificaciones naturales. El objetivo es conservar la continuidad apertura → estructura → medio juego → final.;SLA-M03-P5
SLA-E01;ejercicio;Solución;Parte X/XI/XIII;;r2q1rk1/pp1n1ppp/2p1pn2/5b2/PbBP4/2N1PN2/1P2QPPP/R1B2RK1 w - - 5 10;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;SLA-E01
SLA-E13;ejercicio;SLA-S03;Parte X/XI/XIII;1.d4 d5 2.c4 c6;rnbqkbnr/pp2pppp/2p5/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;SLA-E13
SLA-E14;ejercicio;SLA-S05;Parte X/XI/XIII;1.d4 d5 2.c4 c6;rnbqkbnr/pp2pppp/2p5/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;SLA-E14
SLA-E15;ejercicio;SLA-S06;Parte X/XI/XIII;1.d4 d5 2.c4 c6;rnbqkbnr/pp2pppp/2p5/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;SLA-E15
SLA-E16;ejercicio;misma FEN;Parte X/XI/XIII;;rnbqkb1r/pp2pppp/2p2n2/8/2pP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;SLA-E16
SLA-E17;ejercicio;misma FEN;Parte X/XI/XIII;;rn1qkb1r/pp2pppp/2p2n2/5b2/P1pP4/2N2N2/1P2PPPP/R1BQKB1R w KQkq - 1 6;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;SLA-E17
