codigo;tipo;titulo;capítulo;secuencia;FEN;bando_que_mueve;objetivo;nivel;comentario_blancas;comentario_negras;continuidad_didactica;referencia_en_manual
ESP-P11;posición;Cerrar o mantener la tensión;Ampliación A;e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6b8 d2d4 b8d7 b1d2 c7c5;r1bq1rk1/3nbppp/p2p1n2/1pp1p3/3PP3/1BP2N1P/PP1N1PP1/R1BQR1K1 w - c6 0 12;blancas;Reconocer la evolución de la Española;800–1400;12.d5 gana espacio, fija el caballo d7 y convierte la partida en una lucha de maniobras. La decisión es buena si las blancas aceptan que el ataque no será inmediato.;12...Dc7 conecta torres, apoya ...c4 o ...Te8 y evita que la dama quede atrapada tras una futura apertura de la columna d.;"Tras ...c5, las blancas deben decidir la estructura. Continuación recomendada: d5. Respuesta esperada: Dc7. Error típico: 12.dxc5?! resuelve la tensión y puede activar dxc5; se entrega a las negras una columna y casillas sin obtener una ventaja concreta.";Ficha ESP-P11
ESP-P12;posición;Transición al medio juego;Ampliación A;e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6b8 d2d4 b8d7 b1d2 c7c5 d4d5 d8c7 d2f1 g7g6 f1g3;r1b2rk1/2qnbp1p/p2p1np1/1ppPp3/4P3/1BP2NNP/PP3PP1/R1BQR1K1 b - - 1 14;negras;Reconocer la evolución de la Española;800–1400;13.Cf1 y 14.Cg3 completan la ruta del caballo. Desde g3, defiende e4, mira f5 y h5 y coopera con el alfil de b3 contra el rey.;Las negras responden con ...g6 y ...Te8: controlan f5, refuerzan e5 y preparan ...Af8. Su contrajuego principal sigue siendo ...c4, ...Af8-g7 o ...d5 si el centro se abre.;"El centro está cerrado; la apertura ha terminado y comienza la mejora de piezas. Continuación recomendada: Cf1-g3. Respuesta esperada: g6 y ...Te8. Error típico: Atacar con g4 inmediatamente: debilita el rey y no responde al contrajuego central negro.";Ficha ESP-P12
ESP-S01;estructura;Centro abierto;Parte VIII;e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5;r1bqk2r/2ppbppp/p1n2n2/1p2p3/B3P3/5N2/PPPP1PPP/RNBQR1K1 w kq b6 0 7;blancas;Reconocer planes de estructura;900–1400;Torres en e1 y d1, alfiles en diagonales largas, desarrollo con tempo y control de piezas sueltas.;Actividad inmediata: ...d5, presión sobre e4 y cambios de piezas activas antes de que el espacio blanco pese.;Piezas clave: Torres y alfiles. Casillas y rupturas: Rey en el centro o una pieza sin defender. Error: Abrir líneas sin terminar el desarrollo.;ESP-S01
ESP-S02;estructura;Centro tenso;Parte VIII;e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6b8 d2d4 b8d7;r1bq1rk1/2pnbppp/p2p1n2/1p2p3/3PP3/1BP2N1P/PP3PP1/RNBQR1K1 w - - 1 11;blancas;Reconocer planes de estructura;900–1400;Mantener opciones, reforzar e4, completar Cbd2-f1-g3 y elegir entre d5, dxe5 o mantener la tensión.;"Elegir el momento de ...exd4 o ...d5; aumentar presión sobre d4 con ...c5 y ...Ag4.";Piezas clave: Todas las piezas. Casillas y rupturas: d5, e5 y c5. Error: Capturar por costumbre y liberar al rival.;ESP-S02
ESP-S03;estructura;Centro cerrado;Parte VIII;e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6b8 d2d4 b8d7 b1d2 c7c5 d4d5 d8c7 d2f1 g7g6 f1g3;r1b2rk1/2qnbp1p/p2p1np1/1ppPp3/4P3/1BP2NNP/PP3PP1/R1BQR1K1 b - - 1 14;negras;Reconocer planes de estructura;900–1400;Maniobrar hacia el flanco de rey, preparar Cg3-f5, a4 o g4 solo cuando el centro esté estable.;"Contrajuego con ...c4, ...Af8-g7, ...a5 o ...f5; evitar una defensa pasiva.";Piezas clave: Caballos. Casillas y rupturas: f5, c5, d4. Error: Atacar sin vigilar la ruptura del rival.;ESP-S03
ESP-S04;estructura;Mayoría 4 contra 3;Parte VIII;e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6;r1bqkb1r/1ppp1ppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 2 5;blancas;Reconocer planes de estructura;900–1400;Simplificar con criterio, crear un peón pasado con la mayoría 4 contra 3 del flanco de rey y restringir los alfiles.;Mantener piezas activas, abrir líneas para los alfiles y evitar un final puramente de peones.;Piezas clave: Reyes y alfiles. Casillas y rupturas: d4, d-file y e4. Error: Creer que los peones doblados pierden por sí solos.;ESP-S04
ESP-S05;estructura;Cadena e4-d5;Parte VIII;e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6b8 d2d4 b8d7 b1d2 c7c5 d4d5 d8c7 d2f1 g7g6 f1g3;r1b2rk1/2qnbp1p/p2p1np1/1ppPp3/4P3/1BP2NNP/PP3PP1/R1BQR1K1 b - - 1 14;negras;Reconocer planes de estructura;900–1400;Sostener e4, usar d5 como espacio y preparar un ataque donde haya más espacio.;Atacar la base con ...c6 o ...f5 y buscar cambios que reduzcan el espacio blanco.;Piezas clave: Caballo en g3 y alfil en b3/c2. Casillas y rupturas: c6, f5, c4. Error: Empujar más peones sin mejorar las piezas.;ESP-S05
ESP-S06;estructura;Peón aislado en d4;Parte VIII;e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6;r1bqk2r/2p1bppp/p1np1n2/1p2p3/4P3/1B3N2/PPPP1PPP/RNBQR1K1 w kq - 0 8;blancas;Reconocer planes de estructura;900–1400;Actividad, casilla e5, torres centrales y ruptura d5 antes de un final simplificado.;Bloquear con ...Cd5, cambiar piezas y atacar d4 desde d8, c6 y f6.;Piezas clave: Piezas activas. Casillas y rupturas: d5 y e5. Error: Defender pasivamente con todas las piezas.;ESP-S06
ESP-E01;ejercicio;Ejercicio 1;Parte XIII / Ampliación D;e2e4 e7e5;rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq e6 0 2;blancas;¿Cuál es la prioridad después de 1.e4 e5?;800–1400;"Cf3: desarrolla, ataca e5 y acerca el enroque. La respuesta natural de negras es ...Cc6 o ...Cf6; en ambos casos las blancas continúan desarrollando sin exponer la dama.";"Dh5 crea una amenaza pequeña, pero expone la dama a ganar tiempos; Cc3 desarrolla, aunque no presiona e5 con la misma claridad.";Comparar al menos dos candidatas, anticipar la mejor respuesta rival y revisar ESP-P01 y ESP-S01.;ESP-E01
ESP-E02;ejercicio;Ejercicio 2;Parte XIII / Ampliación D;e2e4 e7e5 g1f3 b8c6;r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3;blancas;Tras 2.Cf3 Cc6, ¿por qué 3.Ab5?;800–1400;Presiona al caballo que sostiene e5 y prepara O-O. Después de ...a6, las blancas decidirán entre conservar el alfil con Aa4 o cambiar la estructura con Axc6.;Cxe5? ignora que el caballo c6 y recursos de dama permiten a negras recuperar el material.;Comparar al menos dos candidatas, anticipar la mejor respuesta rival y revisar ESP-P02 y ESP-S02.;ESP-E02
ESP-E03;ejercicio;Ejercicio 3;Parte XIII / Ampliación D;e2e4 e7e5 g1f3 b8c6 f1b5 a7a6;r1bqkbnr/1ppp1ppp/p1n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4;blancas;Tras 3...a6, ¿conservar o cambiar?;800–1400;"4.Aa4 conserva la tensión y el alfil. Aa4 mantiene abiertas más opciones; Axc6 solo es preferible cuando el plan del final justifica entregar la pareja de alfiles.";Axc6 no es un error, pero cambia de repertorio: si no deseas ese final, has definido la estructura sin necesidad.;Comparar al menos dos candidatas, anticipar la mejor respuesta rival y revisar ESP-P03 y ESP-S03.;ESP-E03
ESP-E04;ejercicio;Ejercicio 4;Parte XIII / Ampliación D;e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6;r1bqkb1r/1ppp1ppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 2 5;blancas;Tras 4...Cf6, ¿cómo responder a la presión sobre e4?;800–1400;5.O-O, aceptando que d4 puede recuperar actividad si ...Cxe4. O-O también conecta la torre con e1 y permite responder a ...Cxe4 con actividad central mediante d4.;"d3 defiende e4, pero cierra temporalmente el alfil c1; O-O mantiene más opciones y resuelve primero la seguridad del rey.";Comparar al menos dos candidatas, anticipar la mejor respuesta rival y revisar ESP-P04 y ESP-S04.;ESP-E04
ESP-E05;ejercicio;Ejercicio 5;Parte XIII / Ampliación D;e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7;r1bqk2r/1pppbppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 4 6;blancas;¿Qué logra 6.Te1?;800–1400;Refuerza e4 con una pieza y coloca la torre en una columna central. La torre mejora sin estorbar a otras piezas y convierte la defensa de e4 en preparación activa de d4.;"De2 defiende, pero ocupa una casilla de la dama y no activa una torre; Te1 cumple dos funciones con una sola jugada.";Comparar al menos dos candidatas, anticipar la mejor respuesta rival y revisar ESP-P05 y ESP-S05.;ESP-E05
ESP-E06;ejercicio;Ejercicio 6;Parte XIII / Ampliación D;e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5;r1bqk2r/2ppbppp/p1n2n2/1p2p3/B3P3/5N2/PPPP1PPP/RNBQR1K1 w kq b6 0 7;blancas;Tras ...b5, ¿dónde va el alfil?;800–1400;Ab3 mantiene la diagonal b1-h7 y presión sobre f7. Ab3 conserva presión sobre f7 y deja Ac2 como retirada futura si el centro se cierra.;Ac2 es útil más adelante, pero retirarse allí inmediatamente concede un tiempo sin necesidad concreta.;Comparar al menos dos candidatas, anticipar la mejor respuesta rival y revisar ESP-P06 y ESP-S06.;ESP-E06
ESP-E07;ejercicio;Ejercicio 7;Parte XIII / Ampliación D;e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6;r1bqk2r/2p1bppp/p1np1n2/1p2p3/4P3/1B3N2/PPPP1PPP/RNBQR1K1 w kq - 0 8;blancas;¿Qué prepara c3?;800–1400;d4, además de ofrecer c2 al alfil y controlar d4. c3 es una inversión de un tiempo: no amenaza ganar material, pero hace posible un centro más fuerte y flexible.;Una jugada lateral como a3 no prepara la ruptura principal y permite a negras completar el desarrollo con comodidad.;Comparar al menos dos candidatas, anticipar la mejor respuesta rival y revisar ESP-P07 y ESP-S01.;ESP-E07
ESP-E08;ejercicio;Ejercicio 8;Parte XIII / Ampliación D;e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8;r1bq1rk1/2p1bppp/p1np1n2/1p2p3/4P3/1BP2N2/PP1P1PPP/RNBQR1K1 w - - 1 9;blancas;¿Cuándo es útil h3?;800–1400;"Cuando ...Ag4 clavaría Cf3 y aumentaría presión sobre e4. h3 es útil cuando impide una clavada concreta; si el centro exige acción inmediata, d4 o desarrollo pueden tener prioridad.";"h3 automática puede ser lenta si negras ya amenazan ...d5; la profilaxis debe responder a una idea real.";Comparar al menos dos candidatas, anticipar la mejor respuesta rival y revisar ESP-P08 y ESP-S02.;ESP-E08
ESP-E09;ejercicio;Ejercicio 9;Parte XIII / Ampliación D;e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6b8;rnbq1rk1/2p1bppp/p2p1n2/1p2p3/4P3/1BP2N1P/PP1P1PP1/RNBQR1K1 w - - 1 10;blancas;¿Qué pretende ...Cb8?;800–1400;"Reorganizar a d7 y liberar c6 para un peón o pieza. Desde d7, el caballo refuerza e5 y deja c6 libre; el retroceso solo tiene sentido porque forma parte de una ruta completa.";Considerar ...Cb8 una pérdida de tiempo impide ver su objetivo: ...Cbd7 refuerza el centro y mejora la coordinación.;Comparar al menos dos candidatas, anticipar la mejor respuesta rival y revisar ESP-P09 y ESP-S03.;ESP-E09
ESP-E10;ejercicio;Ejercicio 10;Parte XIII / Ampliación D;e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6b8 d2d4 b8d7;r1bq1rk1/2pnbppp/p2p1n2/1p2p3/3PP3/1BP2N1P/PP3PP1/RNBQR1K1 w - - 1 11;blancas;¿Por qué d4 es la ruptura temática?;800–1400;Desafía e5 y abre líneas para piezas blancas. Antes de jugar d4, comprueba rey seguro, apoyo de e4 y actividad de las piezas que se beneficiarán de las líneas abiertas.;d4 prematura puede abrir el centro cuando el rey o las piezas blancas todavía no están preparados.;Comparar al menos dos candidatas, anticipar la mejor respuesta rival y revisar ESP-P10 y ESP-S04.;ESP-E10
ESP-E11;ejercicio;Ejercicio 11;Parte XIII / Ampliación D;e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6b8 d2d4 b8d7 b1d2 c7c5;r1bq1rk1/3nbppp/p2p1n2/1pp1p3/3PP3/1BP2N1P/PP1N1PP1/R1BQR1K1 w - c6 0 12;blancas;¿Por qué Cbd2 y no Cc3?;800–1400;"No bloquea el peón c y permite Cf1-g3. Cbd2 mantiene libre el peón c y conserva la estructura típica; Cc3 es más directa, pero reduce flexibilidad.";"Cc3 bloquea el peón c y dificulta el esquema c3-d4; no es mala, pero conduce a otro tipo de posición.";Comparar al menos dos candidatas, anticipar la mejor respuesta rival y revisar ESP-P11 y ESP-S05.;ESP-E11
ESP-E12;ejercicio;Ejercicio 12;Parte XIII / Ampliación D;e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6b8 d2d4 b8d7 b1d2 c7c5 d4d5 d8c7 d2f1 g7g6 f1g3;r1b2rk1/2qnbp1p/p2p1np1/1ppPp3/4P3/1BP2NNP/PP3PP1/R1BQR1K1 b - - 1 14;negras;Tras ...c5, ¿qué debe evaluarse?;800–1400;"Mantener tensión, cerrar con d5 o capturar; cada opción crea otra estructura. d5 gana espacio y cierra; dxe5 abre líneas; mantener tensión conserva opciones. La elección depende de qué piezas estén mejor colocadas.";Capturar o cerrar por reflejo elimina opciones sin comprobar quién se beneficia de la nueva estructura.;Comparar al menos dos candidatas, anticipar la mejor respuesta rival y revisar ESP-P12 y ESP-S06.;ESP-E12
ESP-E13;ejercicio;Ejercicio 13;Parte XIII / Ampliación D;e2e4 e7e5;rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq e6 0 2;blancas;En centro cerrado, ¿qué pieza suele ganar valor?;800–1400;"El caballo, porque puede ocupar casillas fuertes y saltar sobre la cadena. El caballo puede saltar sobre las cadenas; el alfil necesita rupturas para recuperar alcance.";Usar un alfil como si el centro estuviera abierto puede hacerlo golpear contra su propia cadena de peones.;Comparar al menos dos candidatas, anticipar la mejor respuesta rival y revisar ESP-P01 y ESP-S01.;ESP-E13
ESP-E14;ejercicio;Ejercicio 14;Parte XIII / Ampliación D;e2e4 e7e5 g1f3 b8c6;r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3;blancas;¿Cuál es la ruptura liberadora negra?;800–1400;...d5, que desafía e4, libera el alfil c8 y puede igualar espacio. Si ...d5 funciona sin concesiones, negras liberan el alfil c8 y reducen la presión blanca sobre e5.;Una maniobra lenta que ignore ...d5 permite a negras liberar su posición y neutralizar la presión española.;Comparar al menos dos candidatas, anticipar la mejor respuesta rival y revisar ESP-P02 y ESP-S02.;ESP-E14
ESP-E15;ejercicio;Ejercicio 15;Parte XIII / Ampliación D;e2e4 e7e5 g1f3 b8c6 f1b5 a7a6;r1bqkbnr/1ppp1ppp/p1n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4;blancas;¿Por qué no capturar e5 por reflejo?;800–1400;"Porque la recaptura y el recurso ...Dd4 pueden recuperar el peón con amenazas. Tras Axc6 dxc6 Cxe5, recursos como ...Dd4 pueden atacar rey y caballo; por eso hay que calcular la secuencia completa.";Contar solo atacantes y defensores de e5 es insuficiente: los jaques y ataques dobles de la dama cambian el cálculo.;Comparar al menos dos candidatas, anticipar la mejor respuesta rival y revisar ESP-P03 y ESP-S03.;ESP-E15
ESP-E16;ejercicio;Ejercicio 16;Parte XIII / Ampliación D;e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6;r1bqkb1r/1ppp1ppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 2 5;blancas;Reconoce la peor pieza blanca en la línea cerrada.;800–1400;"El caballo b1; suele mejorar por d2-f1-g3. La ruta d2-f1-g3 mejora el caballo sin debilitar el centro y lo lleva a casillas desde las que apoya e4, f5 y h5.";Mover la dama o un peón lateral no resuelve la falta de actividad del caballo b1.;Comparar al menos dos candidatas, anticipar la mejor respuesta rival y revisar ESP-P04 y ESP-S04.;ESP-E16
ESP-E17;ejercicio;Ejercicio 17;Parte XIII / Ampliación D;e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7;r1bqk2r/1pppbppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 4 6;blancas;¿Qué cambia tras d5?;800–1400;"El centro se cierra; disminuyen las líneas y aumentan las maniobras y rupturas laterales. Con el centro cerrado, el plan pasa de abrir líneas a mejorar piezas, ganar casillas y preparar rupturas laterales.";Abrir líneas imaginarias con torres o alfiles no funciona mientras la cadena central siga bloqueada.;Comparar al menos dos candidatas, anticipar la mejor respuesta rival y revisar ESP-P05 y ESP-S05.;ESP-E17
